,BTC_$open,BTC_$high,BTC_$low,BTC_$close,BTC_$volume,ETH_$open,ETH_$high,ETH_$low,ETH_$close,ETH_$volume,SOL_$open,SOL_$high,SOL_$low,SOL_$close,SOL_$volume
2025-02-05,97763.14,99149.0,96155.0,96612.43,26233.30444,2731.19,2826.95,2699.13,2788.25,686593.0429,206.64,209.39,195.14,196.12,3154802.037
2025-02-06,96612.44,99120.0,95676.64,96554.35,23515.20405,2788.25,2857.64,2655.28,2686.64,719459.9571,196.12,203.98,187.39,189.54,3444767.147
2025-02-07,96554.35,100137.99,95620.34,96506.8,31794.22065,2686.63,2797.5,2562.51,2622.1,695467.3612,189.53,203.42,188.12,191.99,3925596.773
2025-02-08,96506.8,96880.0,95688.0,96444.74,10147.24294,2622.11,2667.3,2588.8,2632.46,379685.1509,192.0,200.88,189.81,199.32,1967596.752
2025-02-09,96444.75,97323.09,94713.0,96462.75,14120.91613,2632.46,2698.9,2520.02,2627.18,387166.7911,199.32,207.37,193.53,200.47,2879138.46
2025-02-10,96462.75,98345.0,95256.0,97430.82,20572.87537,2627.18,2693.79,2559.85,2661.19,398173.2716,200.47,209.05,195.85,200.47,4040840.548
2025-02-11,97430.82,98478.42,94876.88,95778.2,18647.76379,2661.19,2725.04,2558.24,2602.59,484196.1435,200.47,206.18,195.12,197.96,3930238.335
2025-02-12,95778.21,98119.99,94088.23,97869.99,29151.16625,2602.59,2795.45,2546.92,2738.27,646295.8959,197.95,198.56,188.48,196.78,3898533.321
2025-02-13,97870.0,98083.91,95217.36,96608.14,19921.77616,2738.27,2757.28,2612.76,2675.87,443769.2853,196.78,198.47,188.78,194.25,2427771.876
2025-02-14,96608.13,98826.0,96252.82,97500.48,18173.02646,2675.87,2791.78,2664.46,2725.95,419895.7862,194.24,205.34,194.11,199.39,3727686.063
2025-02-15,97500.47,97972.26,97223.58,97569.66,7349.37683,2725.95,2739.0,2662.28,2693.04,202971.4295,199.4,200.27,192.61,194.48,1633300.399
2025-02-16,97569.67,97704.47,96046.18,96118.12,8191.4249,2693.04,2727.31,2651.26,2661.41,191231.5314,194.47,196.24,186.3,188.27,2009380.862
2025-02-17,96118.12,97046.59,95205.0,95780.0,16492.0451,2661.41,2849.7,2637.71,2744.05,639739.8197,188.26,189.72,174.63,177.53,4287573.73
2025-02-18,95780.01,96753.91,93388.09,95671.74,23368.19471,2744.05,2756.93,2605.44,2671.99,604863.8737,177.53,179.09,160.88,169.32,6319186.166
2025-02-19,95671.74,96899.99,95029.99,96644.37,16438.50954,2672.0,2736.7,2656.03,2715.5,326154.0202,169.32,174.3,163.75,168.93,3478319.262
2025-02-20,96644.37,98711.36,96415.09,98305.0,17057.39177,2715.51,2770.59,2707.18,2738.04,336735.2544,168.94,176.65,167.66,176.0,2938753.335
2025-02-21,98305.01,99475.0,94871.95,96181.98,32249.2814,2738.04,2845.32,2616.72,2663.0,890440.0604,176.0,180.52,167.15,168.94,4103682.857
2025-02-22,96181.99,96980.0,95770.49,96551.01,11268.17708,2663.0,2798.07,2653.33,2763.22,444989.6669,168.94,174.68,168.07,172.07,1886813.457
2025-02-23,96551.01,96650.0,95227.94,96258.0,10884.84913,2763.23,2857.34,2745.41,2819.69,611002.1222,172.07,173.07,166.42,167.94,1488310.759
2025-02-24,96258.0,96500.0,91349.26,91552.88,31550.10299,2819.7,2839.95,2470.33,2513.52,876876.3707,167.94,169.69,138.0,141.81,7997237.915
2025-02-25,91552.88,92540.69,86050.99,88680.4,78333.11111,2513.52,2533.49,2313.49,2495.7,1322016.8718,141.81,147.09,131.91,144.33,11747010.145
2025-02-26,88680.39,89414.15,82256.01,84250.09,56893.54409,2495.69,2507.5,2253.77,2336.37,863087.2133,144.33,145.19,130.65,135.32,5368401.059
2025-02-27,84250.09,87078.46,82716.49,84708.58,42505.45439,2336.38,2381.6,2230.57,2307.72,637583.9106,135.33,142.9,134.71,137.68,4322990.459
2025-02-28,84708.57,85120.0,78258.52,84349.94,83648.03969,2307.72,2314.18,2076.26,2237.59,1291539.0557,137.68,148.72,125.55,148.18,10039960.613
2025-03-01,84349.95,86558.0,83824.78,86064.53,25785.05464,2237.59,2281.14,2142.73,2217.39,446430.7271,148.18,151.25,138.57,143.66,4151855.758
2025-03-02,86064.54,95000.0,85050.6,94270.0,54889.09045,2217.4,2550.58,2172.04,2518.11,1266684.7748,143.66,179.85,140.04,178.71,13474639.846
2025-03-03,94269.99,94416.46,85117.11,86220.61,59171.10218,2518.12,2523.56,2097.91,2149.01,1109565.2003,178.72,179.47,139.21,142.16,11096202.04
2025-03-04,86221.16,88967.52,81500.0,87281.98,55609.10706,2149.02,2221.88,1993.2,2171.51,1257822.3372,142.16,147.0,130.66,144.79,10389598.334
2025-03-05,87281.98,91000.0,86334.53,90606.01,38264.01163,2171.5,2273.51,2155.03,2241.59,687130.7897,144.8,149.73,140.18,146.28,4895520.585
2025-03-06,90606.0,92810.64,87836.0,89931.89,34342.44902,2241.59,2319.99,2176.9,2202.2,596908.3935,146.27,152.9,142.44,143.31,4451879.661
